|||||||35|12||30||||44|6|||10||24||||||||23|1||48|||||||||||||||||14
|30|||||||||||||||||||42|32|||||||7|||41|||17||||||||||||||24
||||||||||||||||||16|26|13|49||||||||43||||||18||||||||37||40|||17
|29|33|||||||||14||31|8||23||37|||11|||||34|26||20||||||||||||||2||36|||28
||41||||||||||||7|||||||||||6||23|||46||30||37||||||||||12||21|31|43
|||||38||23|||||||48|19|28||||||||30|||40|18||||||||||||||42||||32||1
|||||||||||20||||||||||37|13|||10|16||||||||34|||5|||||||18|||7|27
|36|||5||||||||||||25||||11||46||||9|27|48|||16|||47||40|||13||39||33||||1|29
||31||29|11||45|7||32|||||||||||20|2|||39|||||||34||4|||||||||||||21|36
|6|||||||||46||10|||45||||41|8|||40||||28|42|49||25|||1|||||16|||31||||30||13
||10|||||||||||2|||||||44|41|||||||||||||3||||49|7||||||35||11|19
|39|43||||41||||||||||||32|16|20||1|||47||49|13||38||45|||||14|||||||||||3
||2||44||||30||||||||36|14||||22|||||8||24||||||||||||||20||||49||23
|12||||49||||38||42|28|||||48||19|||14|29||||3|35|||40||||44|25|37||||||45|||||4
33|||12||||6|||||34|||46|||||||||8|||15|49||||47||30||||17|||13|||||||40
|||||8|40|||18||||||||32||24|||||||7|31|||28|17|||||30||46||||1|19|35||||45
||||34||||||17|32||48|20|21|||||||12|46|||33|9||||||||||||27|2||||||||30
32|||24||||38|42||1||||||6||11|7||||||||13|||19||12|37||25||||||28||15|49||||26
||21||||||||||9||28||||||||42|||||||45||||23||||||||12|||||24||34
||||14||36||||||||||||48|||17|28|||||41|||||||||||20|31|||||9||||11
|||41|||||||||||||10||43||45|16|||11|25|||||||44|||49|7|||||||||42|||32
||||25||||13||29|||||||||||28|40|32|3|||||46||||21||||||||24|||||||33
|46|||||26||||12||||||||20||||||||2||||||13|||22||32|||||||4|45|||16
|||||42||43||||||28||||24||||||20|||||||1||||||||||||||||||15
|||32|||||18|||3|||5|||10||4||31||16||48||36|38|26|||8||||||||19|||||||24|20
||||||4|||37||||49|40|||||||1|||39|23|||||||33|||||||8|||30||||||22
||30|||||||4||||46||||27||||||||18|||||32||37|||||||2|||||||||44
|10||44|||||||||||14||||30||33||||42|||||48||27|||||||||||||||||31
|41||27||30||4|||45||5||17|||37||22||9|11||16|||21|||||||||24|||||25|14|44|||||39
||14|||||37|||25||||10||||8|12|4||||||23||||||||43|42||||||||||26|||38
||||32|46||||||||||3|||33|18|25|||||||||||||4|11||12|||20||34||24|||||42
|11||||||32|47||39|||||42|9|7||||||41||20||||||||1|6|||||||||||5|23|16|8
|8|40||9|48||24|||||43||||30||46||||||||||||||||||||32||45||||10||||49
|||||26|||6|||30||||11|38||||35||45|||||||||28||||23|||8|||43|46|||32||34|25
31|38||||22|42|1|||||||||||||||||37|||||23||8|||24|30||||||5|45||47|13|||7
||||||||27|||||||||||||||11||5||48||32|||||||45||25||||13||||||12
||||||||25||3||||2|||22||14|30|||||||43||||||38||||23|||37||||||||21
|||||2||20||||||||||||||33|||34|||||||23||46||6|26||||||40|||11|||48
|47|||||||41||||||||||||19|||23|12||20|||||34|48|||||2|||33|||1|||36|26|10
|35|44||39|37||||||||||||||5|23||||25|31||||||42|||||||48||||||||||46
|43|||||34||||||26|32||||||3||||||||||||19|||||14||||41||9|||||44|5
|||11|36|||||||||42||||12||46||||||||39|1|37|||||||5||||44|10||18|||45||2
||||||||||13|||41|||||||1||23||||22|||||9||||||43|3||||||||||18
||||38|||15||22||||||||||33||||||16||11|21|||||44|||48||9|10||||||28|8||47
||27|||||28|||43|||||||||||18|9|||||||||47|||||23||37||21|49|11|42||34|||6
||26||||||||48|47|||25|||23|13|30||||6|||||37||||24|27||||8|||||||||46||9
|||43|||12||5|19|49|||||41|||28||||||||||||||||23||13||||||29||||||37
||||47||||||42|||||||||||14||37||||34||||||48|||||||||25|26|30||||35
|||||23|21|||||37|31||32|4||17|||||||||||3|||49|2||||29||||||||14|1||39|41
