|34|20||7|25||||||||||49|||44||38||||22|||19|||||14|||32|43||28||||26||5||48||6
||||37||16|2|||||||||25|||||||||||43|19|20|||||||||13||||||||||12
||||||||||||24||23||||||||||||44|||||||||42|46|||33|10|||37||||17|36
||||3|||||||9||||||||31|||13|45|||||44||||||||||||||||||25||21
||||49|||||||5|3||48||||||27|||||2|||35|||13||8|||11|||22||7||||9|||34
||9||19|5||29|11|||||||2|||37|||41||||||||||||15|||||||||||44||||16
||36||||39|4||27||||||||||||||40||||||||18|||32|||||||44|||||||13
|25|45||||32|5|||||20|12|||17||23||39|||26|||||||||1||||||||21|24|||||||48
||||||||||||||3||||30|25|11||43|5||||||||26||22|38||44||||||||||||24
||12|||||||||31|36||||||45|29|10||||24|40|||||||48|||41|5||||||||1||47|11|28
|||||||32||||48|35|||||||||7||||37|||||19|4||||28||||38||2|||||||29
||3||30|||41||45|42||||||6||||||||||25||||9||15||||40||43|||10|||18||17|21|37
|1|||||||||||||||28|||||30||||||||||5||||||||||18||||26|||27
||||36||||||14|||24||42||15||||32||||||3|||44|30|||||||||37||||||19||10
||||||11||47||||23||||||||||41|||||24||34||||||||32|||6||21|||||30|17
|||31|||||||25||||12||||32|||||17|27||||||||||||47||49|41|||||28||43|40|39
||||||||21||34||||||||||||||||20|||36|48||||14||16|19||||15|42|||7|41||22
|||||4|12||||||30|||||14|24||49|||||45|||7|||||||21||||||||33|3||8|32|20
|||||||44|41||||||34||23|6||||||30|14|18||||||||39|||||7|||||48|11|37|||9
|||||15|||16|38|12|35|40|11|39|29|||26||||10|||||||||||20||||44|37||||1||13||||2
||29|16||||49|||8||||19|||47||||2|||48||||||||||3||45|||4|||10||||||25
|||||34|19||23|||20|18|||||43|||||||10|||||38|||||||||27||||||24||||31
|||29|||10|||||||||19|32||||23||42||6||||20||||33|16|||15||44|28|40||14|||||38|35
|||||47||14|32||||1|||||||||||46||11||||||||||||||25|||||||||41
|||||||||42||36|10||29||24||18|||25|||||28|||32|2|||49||12|1||||45|4||||5|||19
|||||||||||||49||||41|||36||47||45|||||27||||||29|||||32|3|7||||||8
|||||||||2|38||||7|||||||35|40||37|||||5|41||23|||10|24|||||||||17||16|11
|||||38|21|||||||||1|||||||||||||||15||28|10||||||||23|39|||48|||33
|33|||||||26|||||15||31|18|||||||||||17|12||||42|||44||8|||||48|||45|22||32
||||||||||||||14|35|||6|23||||27||||45||49|||34|25||36|||40|16||32|||||||7
|||39||||23||||||||||26|7||||||||||2|43|40|38||||30|||34|||||||46|||47
||26||4|||||18||||45|41||16||||37|||31|32||||||||||||||||||||||||30
||||||||14||2|16||||||45||39|||4|||||||||||||||||||||35||12|||40
|||2||3|||||20||||5|||29|19|44|32||36|||||||||||30|9|||||||||28|||||26
|27|||||23||||28||12||8||||||||||11|||||||||19||||||||49||14||4|||38
33|40||18||||||16||44|5|||||||||4|||||||||||||22||||29|||||27|||46|26|23
7||48|||46|||27|||34||2|||||||||||||||||38|||||||||||||||43||47|44
|||||12|45|||||26|38|10|||4|37||||||44|||||||||||||||48||16|||41|||||42
|10||||44|4|18||||1|7|||46|||||||||39|||||26|||12|||19|||||28||37||||||3
|||||2|||45||||11|||17|3||||||35|||36||||15|||||||||4|||||||38|||18
||||17|42|||||||||18|||35||12||15||||||11||2||48||46|||||||44||5||||36||49
|||||||48||49|||||15|||||36|||24||||33|||11||14||||||46||||||31|||||1
|47||||45|7|||||19|||||||||||||2|||||35|||||44|||||8|||||33||||46
|||42|||17|||8||||39||||||13||||||47||35||||||31||5|27|43|2||||||40||10||14
|||4|||36||9|43|||||11||||||||12||||16|||10|||||2||48|||||46|||47|6|||45
13||22||||8||2|||32||30|||||||||28|||||||||47|||||||1||||12||||||4
|11|||||35||17||48|||25|||||33|4||||||8||18||39||||||||||||||||||19|15
||25|14|||31||||||13|||||||24||||||17|23||27|||||||||||47||38|||48|2|||43
||||27|||20|||||22||||||||2|||||19|9||||||||7||||24||||23|32|||||5
